Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-12-04,6069.39,6089.84,6061.06,6086.49,2712321623
2024-12-05,6089.03,6094.55,6072.9,6075.11,2675005481
2024-12-06,6081.38,6099.97,6079.98,6090.27,2526693758
2024-12-09,6083.01,6088.51,6048.63,6052.85,2941794303
2024-12-10,6057.59,6065.4,6029.89,6034.91,2802540531
2024-12-11,6060.15,6092.59,6060.15,6084.19,2908653941
2024-12-12,6074.29,6079.68,6051.25,6051.25,2407534449
2024-12-13,6068.17,6078.58,6035.77,6051.09,2525493236
2024-12-16,6063.79,6085.19,6059.14,6074.08,3113591762
2024-12-17,6052.55,6057.68,6035.19,6050.61,3038427124
2024-12-18,6047.65,6070.67,5867.79,5872.16,3400301958
2024-12-19,5912.71,5935.52,5866.07,5867.08,3296178745
2024-12-20,5842,5982.06,5832.3,5930.85,6423401075
2024-12-23,5940.25,5978.25,5902.57,5974.07,2322849535
2024-12-24,5984.63,6040.1,5981.44,6040.04,1133216588
2024-12-26,6024.97,6049.75,6007.37,6037.59,1506250902
2024-12-27,6006.17,6006.17,5932.95,5970.84,1817797977
2024-12-30,5920.67,5940.79,5869.16,5906.94,1943393216
2024-12-31,5919.74,5929.74,5868.86,5881.63,1796606528
2025-01-02,5903.26,5935.09,5829.53,5868.55,2248974081
2025-01-03,5891.07,5949.34,5888.66,5942.47,2208965666
2025-01-06,5982.81,6021.04,5960.01,5975.38,2825734456
2025-01-07,5993.26,6000.68,5890.68,5909.03,2695892906
2025-01-08,5910.66,5927.89,5874.78,5918.25,2552763188
2025-01-10,5890.35,5890.35,5807.78,5827.04,3074140013
2025-01-13,5782.02,5838.61,5773.31,5836.22,2734604885
2025-01-14,5859.27,5871.92,5805.42,5842.91,2456378108
2025-01-15,5905.21,5960.61,5905.21,5949.91,2766846545
2025-01-16,5963.61,5964.69,5930.72,5937.34,2536020064
2025-01-17,5995.4,6014.96,5978.44,5996.66,3000130402
2025-01-21,6014.12,6051.51,6006.88,6049.24,3098927599
2025-01-22,6081.39,6100.81,6076.13,6086.37,2882204031
2025-01-23,6076.32,6118.73,6074.67,6118.71,2490857980
2025-01-24,6121.43,6128.18,6088.74,6101.24,2521445434
2025-01-27,5969.04,6017.17,5962.92,6012.28,4121065675
2025-01-28,6026.97,6074.54,5994.63,6067.7,3367907580
2025-01-29,6057.7,6062.83,6012.96,6039.31,2912197567
2025-01-30,6050.75,6086.64,6027.46,6071.17,3095917460
2025-01-31,6096.79,6120.91,6030.93,6040.53,3538446119
2025-02-03,5969.65,6022.13,5923.93,5994.57,3330237167
2025-02-04,5998.14,6042.48,5990.87,6037.88,3123611016
2025-02-05,6020.45,6062.86,6007.06,6061.48,3180982517
2025-02-06,6072.22,6084.03,6046.83,6083.57,3123712582
2025-02-07,6083.13,6101.28,6019.96,6025.99,2940934310
2025-02-10,6046.4,6073.38,6044.84,6066.44,2770081402
2025-02-11,6049.32,6076.28,6042.34,6068.5,2804797291
2025-02-12,6025.08,6063,6003,6051.97,2900610176
2025-02-13,6060.59,6116.91,6050.95,6115.07,2971515778
2025-02-14,6115.52,6127.47,6107.62,6114.63,2829179249
2025-02-18,6121.6,6129.63,6099.51,6129.58,3288056630
2025-02-19,6117.76,6147.43,6111.15,6144.15,3068012369
2025-02-20,6134.5,6134.5,6084.59,6117.52,2972975947
2025-02-21,6114.1,6114.82,6008.56,6013.13,3429439969
2025-02-24,6026.69,6043.65,5977.83,5983.25,3277532553
2025-02-25,5982.73,5992.65,5908.49,5955.25,3514532613
2025-02-26,5970.87,6009.82,5932.69,5956.06,3010698433
2025-02-27,5981.88,5993.69,5858.78,5861.57,3363296300
2025-02-28,5856.74,5959.4,5837.66,5954.5,4324759998
2025-03-03,5968.33,5986.09,5810.91,5849.72,3643065709
2025-03-04,5811.98,5865.08,5732.59,5778.15,4292552884
2025-03-05,5781.36,5860.59,5742.35,5842.63,3358765660
2025-03-06,5785.87,5812.08,5711.64,5738.52,3374067793
2025-03-07,5726.01,5783.01,5666.29,5770.2,3989438816
2025-03-10,5705.37,5705.37,5564.02,5614.56,4360082077
2025-03-11,5603.65,5636.3,5528.41,5572.07,4149151870
2025-03-12,5624.84,5642.19,5546.09,5599.3,3479733142
2025-03-13,5594.45,5597.78,5504.65,5521.52,3339958710
2025-03-14,5563.85,5645.27,5563.85,5638.94,3014214616
2025-03-17,5635.6,5703.52,5631.12,5675.12,2990890037
2025-03-18,5654.53,5654.53,5597.76,5614.66,2920470375
2025-03-19,5632.37,5715.33,5622.2,5675.29,3036779615
2025-03-20,5646.92,5711.15,5632.33,5662.89,2850149846
2025-03-21,5630.73,5670.84,5603.1,5667.56,6488692228
2025-03-24,5718.08,5775.14,5718.08,5767.57,3047868018
2025-03-25,5775.96,5786.95,5760.42,5776.65,2701963544
2025-03-26,5771.66,5783.62,5694.41,5712.2,2886232743
2025-03-27,5695.64,5732.28,5670.94,5693.31,2832194159
2025-03-28,5679.2,5685.89,5572.42,5580.94,2841143271
2025-03-31,5527.91,5627.56,5488.73,5611.85,3678236098
2025-04-01,5597.53,5650.57,5558.52,5633.07,2806321225
2025-04-02,5580.76,5695.31,5571.48,5670.97,2785811866
2025-04-03,5492.74,5499.53,5390.83,5396.52,5005321892
2025-04-04,5292.14,5292.14,5069.9,5074.08,6086848913
2025-04-07,4953.79,5246.57,4835.04,5062.25,6290342696
2025-04-08,5193.57,5267.47,4910.42,4982.77,5129379581
2025-04-09,4965.28,5481.34,4948.43,5456.9,6714323344
2025-04-10,5353.15,5353.15,5115.27,5268.05,4827946954
2025-04-11,5255.56,5381.46,5220.77,5363.36,3769018345
2025-04-14,5441.96,5459.46,5358.02,5405.97,3287277699
2025-04-15,5411.99,5450.41,5386.44,5396.63,2856819167
2025-04-16,5335.75,5367.24,5220.79,5275.7,3352865807
2025-04-17,5305.45,5328.31,5255.58,5282.7,3153699686
2025-04-21,5232.94,5232.94,5101.63,5158.2,2968348904
2025-04-22,5207.67,5309.61,5207.67,5287.76,3110055926
2025-04-23,5395.92,5469.69,5356.17,5375.86,3557338239
2025-04-24,5381.38,5489.4,5371.96,5484.77,3167406758
2025-04-25,5489.73,5528.11,5455.86,5525.21,2948448664
2025-04-28,5529.22,5553.66,5468.64,5528.75,2781484249
2025-04-29,5508.87,5571.95,5505.7,5560.83,2873460382
2025-04-30,5499.44,5581.84,5433.24,5569.06,3778234782
2025-05-01,5625.14,5658.91,5597.35,5604.14,3254820687
2025-05-02,5645.88,5700.7,5642.28,5686.67,3023303433
2025-05-05,5655.32,5683.38,5634.48,5650.38,2704187234
2025-05-06,5605.87,5649.58,5586.04,5606.91,2819089147
2025-05-07,5614.18,5654.73,5578.64,5631.28,3217062436
2025-05-08,5663.6,5720.1,5635.38,5663.94,3223260422
2025-05-09,5679.65,5691.69,5644.15,5659.91,2455756301
2025-05-12,5807.2,5845.37,5786.08,5844.19,3760355072
2025-05-13,5854.15,5906.64,5845.02,5886.55,3560150856
2025-05-14,5896.74,5906.55,5872.11,5892.58,3460287578
2025-05-15,5869.82,5924.21,5865.16,5916.93,3162012704
2025-05-16,5929.09,5958.62,5907.36,5958.38,2964380123
2025-05-19,5902.88,5968.61,5895.69,5963.6,2570089512
2025-05-20,5944.66,5953.06,5909.26,5940.46,2548764044
2025-05-21,5910.18,5938.37,5830.91,5844.61,3120335266
2025-05-22,5841.26,5878.08,5825.82,5842.01,2780476653
2025-05-23,5781.89,5829.51,5767.41,5802.82,2552789941
2025-05-27,5854.07,5924.33,5854.07,5921.54,2908886707
2025-05-28,5925.54,5939.92,5881.88,5888.55,2671435626
2025-05-29,5939.96,5943.13,5873.8,5912.17,2860740970
2025-05-30,5903.67,5922.14,5843.66,5911.69,4815797845
2025-06-02,5896.68,5937.4,5861.43,5935.94,2765357514
2025-06-03,5938.56,5981.35,5929,5970.37,2995303857
2025-06-04,5978.94,5990.48,5966.11,5970.81,2682443108
2025-06-05,5985.67,5999.7,5921.2,5939.3,3140507873
2025-06-06,5987.06,6016.87,5978.63,6000.36,2556627346
2025-06-09,6004.63,6021.31,5994.18,6005.88,2893721501
2025-06-10,6009.91,6043.01,6000.28,6038.81,3011278347
2025-06-11,6049.38,6059.4,6002.32,6022.24,2981333190
2025-06-12,6009.9,6045.43,6003.88,6045.26,2623578843
2025-06-13,6000.56,6026.16,5963.21,5976.97,3029890480
2025-06-16,6004,6050.83,6004,6033.11,2880110512
2025-06-17,6012.15,6023.25,5974.8,5982.72,2853845438
2025-06-18,5987.93,6018.25,5971.89,5980.87,2951831932
2025-06-20,5999.67,6018.2,5952.56,5967.84,5195984630
2025-06-23,5969.67,6028.77,5943.23,6025.17,3270234044
2025-06-24,6061.21,6101.76,6059.25,6092.18,3291211984
2025-06-25,6104.23,6108.51,6080.09,6092.16,2894445051
2025-06-26,6112.09,6146.52,6107.27,6141.02,3049538066
2025-06-27,6150.7,6187.68,6132.35,6173.07,4642836205
2025-06-30,6193.36,6215.08,6174.97,6204.95,3332438031
2025-07-01,6187.25,6210.78,6177.97,6198.01,3572880894
2025-07-02,6193.88,6227.6,6188.29,6227.42,3141259934
2025-07-03,6246.46,6284.65,6246.46,6279.35,1839509804
2025-07-07,6259.04,6262.07,6201,6229.98,2760139183
2025-07-08,6234.03,6242.7,6217.75,6225.52,3027418207
2025-07-09,6243.33,6269.16,6231.43,6263.26,2808148693
2025-07-10,6266.8,6290.22,6251.44,6280.46,2818582888
2025-07-11,6255.68,6269.44,6237.6,6259.75,2631005038
2025-07-14,6255.15,6273.31,6239.22,6268.56,2705073872
2025-07-15,6295.29,6302.04,6241.68,6243.76,3107719334
2025-07-16,6254.5,6268.12,6201.59,6263.7,2960714110
2025-07-17,6263.4,6304.69,6262.27,6297.36,3025942711
2025-07-18,6312.95,6315.61,6285.27,6296.79,3037348968
2025-07-21,6304.74,6336.08,6303.79,6305.6,2661136349
2025-07-22,6306.6,6316.12,6281.71,6309.62,3003304728
2025-07-23,6326.9,6360.64,6317.49,6358.91,3241469766
2025-07-24,6368.6,6381.31,6360.57,6363.35,3369954808
2025-07-25,6370.01,6395.82,6368.53,6388.64,2983956118
2025-07-28,6397.69,6401.07,6375.79,6389.77,2844306551
2025-07-29,6405.62,6409.26,6363.92,6370.86,3254273473
2025-07-30,6381.23,6396.54,6336.38,6362.9,3332521297
2025-07-31,6427.02,6427.02,6327.64,6339.39,4089137265
2025-08-01,6287.28,6287.28,6212.69,6238.01,3624071031
2025-08-04,6271.71,6330.69,6271.71,6329.94,3003746989
2025-08-05,6336.63,6346,6289.37,6299.19,3191721992
2025-08-06,6309.3,6352.83,6301.11,6345.06,3310732124
2025-08-07,6374.32,6389.71,6310.32,6340,3120148645
2025-08-08,6355.22,6395.16,6355.22,6389.45,2798987026
2025-08-11,6389.67,6407.25,6364.06,6373.45,2870335047
2025-08-12,6395.17,6446.55,6385.76,6445.76,2880921978
2025-08-13,6462.67,6480.28,6445.02,6466.58,2961340868
2025-08-14,6453.46,6473.92,6441.07,6468.54,2792441868
2025-08-15,6477.38,6481.34,6441.85,6449.8,3142526592
2025-08-18,6445.02,6455.35,6437.7,6449.15,2597294219
2025-08-19,6446.24,6456.48,6400.22,6411.37,2958805344
2025-08-20,6406.62,6408.4,6343.86,6395.78,3043844556
2025-08-21,6380.83,6393.65,6352.71,6370.17,2424712887
2025-08-22,6384.59,6478.89,6384.59,6466.91,3062740140
2025-08-25,6457.67,6466.89,6438.06,6439.32,2512426446
2025-08-26,6435.49,6468.37,6429.21,6465.94,3240492023
2025-08-27,6462.26,6487.06,6457.84,6481.4,2956797464
2025-08-28,6483.84,6508.23,6466.96,6501.86,2609428772
2025-08-29,6489.28,6491.76,6444.57,6460.26,2542979459
2025-09-02,6401.51,6416.54,6360.58,6415.54,2887743021
2025-09-03,6445.82,6453.67,6416.17,6448.26,2808410771
2025-09-04,6456.6,6502.54,6445.98,6502.08,2747906680
2025-09-05,6529.08,6532.65,6443.98,6481.5,3166204188
2025-09-08,6498.09,6508.67,6483.29,6495.15,3028552074
2025-09-09,6503.33,6518.23,6483.08,6512.61,2709986190
2025-09-10,6550.29,6555.97,6516.34,6532.04,3189574889
2025-09-11,6554.41,6592.89,6545.8,6587.47,3259054992
2025-09-12,6590.66,6600.21,6579.49,6584.29,2986426173
2025-09-15,6603.49,6619.62,6602.07,6615.28,2924989510
2025-09-16,6624.13,6626.99,6600.11,6606.76,2905141389
2025-09-17,6604.87,6624.39,6551.15,6600.35,3048203136
2025-09-18,6626.85,6656.8,6611.89,6631.96,3472700121
2025-09-19,6647.11,6671.82,6630.31,6664.36,5969910655
2025-09-22,6654.28,6698.88,6648.07,6693.75,3315223419
2025-09-23,6692.44,6699.52,6645.58,6656.92,3115121988
2025-09-24,6669.79,6672.66,6621.76,6637.97,2998614787
2025-09-25,6608.19,6619,6569.22,6604.72,3278961445
2025-09-26,6615.38,6648.97,6604.43,6643.7,2892245070
2025-09-29,6661.58,6677.31,6644.49,6661.21,3168317149
2025-09-30,6656.19,6691.25,6641,6688.46,3486014723
2025-10-01,6664.92,6718.48,6656.2,6711.2,3487364700
2025-10-02,6731.31,6731.94,6693.23,6715.35,3004379851
2025-10-03,6722.14,6750.87,6705.67,6715.79,2878413899
2025-10-06,6733.86,6749.52,6717.78,6740.28,3287229545
2025-10-07,6746.14,6754.49,6699.96,6714.59,3041041072
2025-10-08,6723.87,6755.64,6718.09,6753.72,2924743850
2025-10-09,6760.5,6764.58,6716.17,6735.11,2806505186
2025-10-10,6740.49,6762.4,6550.78,6552.51,3576690308
2025-10-13,6622.53,6668.68,6620.71,6654.72,2749650647
2025-10-14,6602.49,6680.7,6555.07,6644.31,2982479677
2025-10-15,6688.27,6724.12,6612.11,6671.06,2980404766
2025-10-16,6689.02,6709.34,6593.99,6629.07,3312407351
2025-10-17,6613.27,6678.88,6603.76,6664.01,3139633660
2025-10-20,6690.05,6744.35,6690.05,6735.13,2681649976
2025-10-21,6736.75,6752.16,6722.03,6735.35,3134559675
2025-10-22,6741.34,6741.75,6655.69,6699.4,3462137202
2025-10-23,6703.65,6749.53,6700.14,6738.44,3340300193
2025-10-24,6772.07,6807.11,6772.07,6791.69,3030501823
2025-10-27,6845.46,6877.28,6843.94,6875.16,3281337316
2025-10-28,6897.74,6911.3,6870.73,6890.89,3383018549
2025-10-29,6910.95,6920.34,6851.91,6890.59,3991449848
2025-10-30,6860.5,6880.75,6820.69,6822.34,3912419033
2025-10-31,6879.17,6879.17,6814.26,6840.2,3781813931
2025-11-03,6882.32,6882.32,6820.62,6851.97,3738573066
2025-11-04,6788.52,6820.21,6766.71,6771.55,3804669249
2025-11-05,6769.77,6829.78,6763.11,6796.29,3509989123
2025-11-06,6787.59,6796.68,6707.51,6720.32,3645515825
2025-11-07,6696.18,6730.11,6631.44,6728.8,3572758457
2025-11-10,6785.36,6841.32,6770.56,6832.43,3176556257
2025-11-11,6815.64,6855.13,6806.87,6846.61,2819843476
2025-11-12,6867.77,6869.91,6829.62,6850.92,2953817156
2025-11-13,6826.47,6828.05,6724.72,6737.49,3390434200
2025-11-14,6672.14,6774.31,6646.87,6734.11,3110943074
2025-11-17,6713.61,6754.5,6638.9,6672.41,3201093835
2025-11-18,6641.19,6666.63,6574.32,6617.32,3313453674
2025-11-19,6625.84,6689.75,6603.5,6642.16,3169299167
2025-11-20,6737.93,6770.35,6534.05,6538.76,3745953023
2025-11-21,6555.77,6660.05,6521.92,6602.99,4027622687
2025-11-24,6636.54,6715.75,6630.7,6705.12,4515631336
2025-11-25,6697.03,6776.4,6659.98,6765.88,3329984743
2025-11-26,6793.55,6831.44,6783.87,6812.61,2733198917
2025-11-28,6822.52,6850.86,6819.75,6849.09,1476619723
2025-12-01,6812.3,6843.65,6799.94,6812.63,2809389477
2025-12-02,6830.96,6851.55,6806.71,6829.37,3027194930
2025-12-03,6815.29,6862.42,6810.43,6849.72,3003129079
2025-12-04,6866.47,6866.47,6827.12,6857.12,2984475179
2025-12-05,6866.32,6895.78,6858.29,6870.4,3170300806
2025-12-08,6875.2,6878.27,6827.19,6846.51,3229858469
2025-12-09,6840.61,6864.92,6837.43,6840.51,2792692884
2025-12-10,6833.49,6900.67,6824.69,6886.68,3568454126
2025-12-11,6861.3,6903.46,6833.45,6901,3195795418
2025-12-12,6886.85,6899.85,6801.79,6827.41,3223223496
2025-12-15,6860.19,6861.59,6801.49,6816.51,3346423276
2025-12-16,6800.12,6819.27,6759.74,6800.26,3271931472
2025-12-17,6802.88,6812.26,6720.43,6721.43,3506739894
2025-12-18,6778.06,6816.13,6758.5,6774.76,3401888532
2025-12-19,6792.62,6840.02,6792.62,6834.5,6888367197
2025-12-22,6865.21,6882.03,6855.74,6878.49,2663557315
2025-12-23,6872.41,6910.88,6868.81,6909.79,2265893371
2025-12-24,6904.91,6937.32,6904.91,6932.05,1084969463
2025-12-26,6936.02,6945.77,6921.6,6929.94,1478675975
2025-12-29,6903.6,6920.21,6888.76,6905.74,2005334941
2025-12-30,6900.44,6913.25,6893.47,6896.24,1739884019
2025-12-31,6898.82,6901.42,6844.55,6845.5,1736582237
